Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Passes_cmp,Passes_att,Passes_cmp_pct,PrgP,Carries,PrgC,Take-ons_att,Take-ons_succ,team,opponent,player_ids,match_id
João Pedro,20.0,br BRA,FW,24-008,74,0,0,0,0,1,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,8,13,61.5,0,9,3,0,0,Chelsea,Liverpool,e8832875,780d534e
Marc Guiu,38.0,es ESP,FW,19-273,16,0,0,0,0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Chelsea,Liverpool,d3d774cc,780d534e
Alejandro Garnacho,49.0,ar ARG,LW,21-095,74,0,0,0,0,1,0,0,0,30,1,0,0,0.1,0.1,0.0,2,0,20,23,87.0,1,25,5,5,2,Chelsea,Liverpool,7aa8adfe,780d534e
Jamie Gittens,11.0,eng ENG,LW,21-057,16,0,0,0,0,1,1,0,0,9,0,0,1,0.0,0.0,0.0,1,0,6,7,85.7,1,7,4,1,1,Chelsea,Liverpool,10745192,780d534e
Pedro Neto,7.0,pt POR,RW,25-209,74,0,0,0,0,1,0,0,0,30,0,1,0,0.0,0.0,0.0,0,0,18,25,72.0,1,13,2,2,2,Chelsea,Liverpool,7ba2eaa9,780d534e
Estêvão Willian,41.0,br BRA,RW,18-163,16,1,0,0,0,2,2,0,0,24,1,1,0,0.4,0.4,0.4,3,0,13,18,72.2,0,13,1,3,0,Chelsea,Liverpool,2eda11b1,780d534e
Enzo Fernández,8.0,ar ARG,AM,24-260,90,0,0,0,0,2,1,0,0,62,4,1,1,0.3,0.3,0.0,2,1,36,48,75.0,7,34,1,2,0,Chelsea,Liverpool,5ff4ab71,780d534e
Moisés Caicedo,25.0,ec ECU,DM,23-336,90,1,0,0,0,2,2,0,0,64,4,1,1,0.1,0.1,0.0,0,0,45,51,88.2,3,29,0,1,0,Chelsea,Liverpool,16264a81,780d534e
Malo Gusto,27.0,fr FRA,"DM,RB",22-138,90,0,1,0,0,1,0,0,0,70,1,0,1,0.0,0.0,0.0,4,1,53,63,84.1,5,39,3,0,0,Chelsea,Liverpool,d56b9520,780d534e
Marc Cucurella,3.0,es ESP,LB,27-074,90,0,1,0,0,0,0,0,0,66,2,2,3,0.0,0.0,0.5,4,1,45,54,83.3,9,33,6,0,0,Chelsea,Liverpool,1daec722,780d534e
Benoît Badiashile,5.0,fr FRA,CB,24-192,54,0,0,0,0,0,0,0,0,54,1,2,1,0.0,0.0,0.0,2,1,45,48,93.8,3,34,0,0,0,Chelsea,Liverpool,06df8256,780d534e
Roméo Lavia,45.0,be BEL,DM,21-271,36,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,1,0,17,19,89.5,4,15,1,1,1,Chelsea,Liverpool,ecad9aa5,780d534e
Joshua Acheampong,34.0,eng ENG,CB,19-152,67,0,0,0,0,0,0,0,0,48,0,1,2,0.0,0.0,0.0,0,0,35,45,77.8,1,25,1,0,0,Chelsea,Liverpool,b7e62e1d,780d534e
Jorrel Hato,21.0,nl NED,CB,19-211,23,0,0,0,0,0,0,0,0,23,1,2,1,0.0,0.0,0.0,0,0,16,17,94.1,1,8,0,0,0,Chelsea,Liverpool,bde35051,780d534e
Reece James,24.0,eng ENG,"RB,CB",25-300,90,0,0,0,0,0,0,0,0,81,5,2,1,0.0,0.0,0.0,2,0,55,67,82.1,2,38,0,1,0,Chelsea,Liverpool,1265a93a,780d534e
Robert Sánchez,1.0,es ESP,GK,27-320,90,0,0,0,0,0,0,0,0,56,0,0,0,0.0,0.0,0.0,0,0,37,56,66.1,0,35,0,0,0,Chelsea,Liverpool,6a713852,780d534e
Alexander Isak,9.0,se SWE,FW,26-013,73,0,1,0,0,1,0,0,0,30,1,0,0,0.2,0.2,0.5,0,0,14,21,66.7,3,18,1,2,0,Liverpool,Chelsea,8e92be30,780d534e
Hugo Ekitike,22.0,fr FRA,FW,23-106,17,0,0,0,0,1,0,0,0,11,1,0,0,0.1,0.1,0.0,3,0,5,6,83.3,1,8,1,2,0,Liverpool,Chelsea,5b92d896,780d534e
Cody Gakpo,18.0,nl NED,LW,26-150,90,1,0,0,0,1,1,0,0,56,0,2,1,0.5,0.5,0.6,6,0,28,39,71.8,6,36,7,4,2,Liverpool,Chelsea,1971591f,780d534e
Mohamed Salah,11.0,eg EGY,RW,33-111,90,0,0,0,0,2,0,0,0,34,0,0,0,0.3,0.3,0.4,5,1,17,26,65.4,2,26,4,3,0,Liverpool,Chelsea,e342ad68,780d534e
Dominik Szoboszlai,8.0,hu HUN,"RB,AM",24-344,90,0,0,0,0,3,0,1,0,62,4,0,0,0.6,0.6,0.0,3,1,39,49,79.6,3,31,1,2,0,Liverpool,Chelsea,934e1968,780d534e
Alexis Mac Allister,10.0,ar ARG,DM,26-284,85,0,0,0,0,1,0,0,0,46,2,1,1,0.0,0.0,0.1,1,0,27,36,75.0,1,22,0,1,0,Liverpool,Chelsea,83d074ff,780d534e
Wataru Endo,3.0,jp JPN,DM,32-237,5,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,0,0,3,4,75.0,0,3,1,0,0,Liverpool,Chelsea,c149016b,780d534e
Ryan Gravenberch,38.0,nl NED,"DM,CB",23-141,90,0,0,0,0,1,1,0,0,67,1,3,0,0.0,0.0,0.0,0,0,52,58,89.7,6,51,1,1,0,Liverpool,Chelsea,b8e740fb,780d534e
Milos Kerkez,6.0,hu HUN,LB,21-331,54,0,0,0,0,0,0,0,0,32,1,0,0,0.0,0.0,0.0,0,0,21,25,84.0,3,18,1,0,0,Liverpool,Chelsea,0ad53bdc,780d534e
Andrew Robertson,26.0,sct SCO,LB,31-207,36,0,0,0,0,1,0,0,0,27,1,1,2,0.0,0.0,0.0,0,0,12,17,70.6,1,13,3,0,0,Liverpool,Chelsea,2e4f5f03,780d534e
Virgil van Dijk,4.0,nl NED,CB,34-088,90,0,0,0,0,0,0,0,0,68,0,1,1,0.0,0.0,0.0,0,0,54,60,90.0,4,49,0,0,0,Liverpool,Chelsea,e06683ca,780d534e
Ibrahima Konaté,5.0,fr FRA,CB,26-132,55,0,0,0,0,0,0,0,0,45,2,0,0,0.0,0.0,0.0,0,0,38,41,92.7,5,33,1,0,0,Liverpool,Chelsea,5ed9b537,780d534e
Curtis Jones,17.0,eng ENG,DM,24-247,35,0,0,0,0,1,0,0,0,22,0,0,0,0.2,0.2,0.0,1,0,20,20,100.0,3,18,3,0,0,Liverpool,Chelsea,4fb9c88f,780d534e
Conor Bradley,12.0,nir NIR,RB,22-087,45,0,0,0,0,0,0,1,0,29,0,0,0,0.0,0.0,0.0,0,0,22,25,88.0,2,17,1,2,0,Liverpool,Chelsea,bbd67769,780d534e
Florian Wirtz,7.0,de GER,AM,22-154,45,0,0,0,0,0,0,0,0,26,2,1,1,0.0,0.0,0.1,1,0,12,18,66.7,5,17,0,1,0,Liverpool,Chelsea,e7fcf289,780d534e
Giorgi Mamardashvili,25.0,ge GEO,GK,25-005,90,0,0,0,0,0,0,0,0,57,0,0,0,0.0,0.0,0.0,1,0,42,52,80.8,0,40,0,0,0,Liverpool,Chelsea,d4b73232,780d534e
